Species,Mass - average - g,Mass - adult - average - g,Mass - adult - female - average - g,Mass - adult - male - average - g,Mass - embryo - average - g,Mass - weanling - average - g,Mass - female - average - g,Mass - male - average - g,"Lifespan (wild, undetermined) - undetermined - average - years",Age at sexual or reproductive maturity (male) - average - years,Age at sexual or reproductive maturity (male) - male - average - years,Age at sexual or reproductive maturity (female) - average - years,Age at sexual or reproductive maturity (female) - female - average - years,Age at sexual or reproductive maturity (female) - male - average - years,"Lifespan (wild, female) - female - average - years",
Nerodia fasciata,180.2,,,,,,,,8,2.5,,0.0417,,,,
Nesofregetta fuliginosa,71,,,,,,,,,,,,,,,
Nesopsar nigerrimus,41.1,,,,,,,,,,,,,,,
Nestor notabilis,922,,,,,,,,,4.5,,0.05,,,,
Netta rufina,1200,,,,,,,,7.6,1.5,,0.025,,,,
Neurotrichus gibbsii,10,,,,,,,,,,,,,,,
Neusticomys monticolus,40,,,,,,,,,,,,,,,
Ningaui yvonnae,11,,,,,,,,1.08,0.6667,,0.0111,,,,
Nipponia nippon,1000,,,,,,,,,3,,0.05,,,,
Noctilio albiventris,31,,,,,,,,,1,,0.0167,,,,
Noctilio leporinus,69,,,,,,,,,,,,,,,
Nomascus concolor,8450,,,,,,,,,8,,0.1333,,,,
Nomascus gabriellae,8500,,,,,,,,,7,,0.1167,,,,
Nomascus hainanus,7900,,,,,,,,,,,,,,,
Nomascus leucogenys,5700,,,,,,,,28,7,,0.1167,,,,
Norops sagrei,5.5,,,,,,,,5,1,,0.0167,,,,
Notiosorex crawfordi,6.25,,,,,,,,,,,,,,,
Notomys alexis,35,,,,,,,,,0.2361,,0.0039,,,,
Notophthalmus perstriatus,0.8,,,,,,,,12.9,1.3333,,0.0222,,,,
Notoryctes caurinus,40,,,,,,,,,,,,,,,
Notoryctes typhlops,45,,,,,,,,,,,,,,,
Notorynchus cepedianus,107000,,,,,,,,50,4.65,,0.2667,,,,
Noturus flavus,300,,,,,,,,5.5,3,3.0417,0.05,0.0507,,,
Nucifraga columbiana,141,,,,,,,,17.42,,,,,,,
Nyctalus leisleri,15.5,,,,,,,,9,,,,,,,
Nyctalus noctula,27,,,,,,,,8,,1.2639,,0.0042,,,
Nyctanassa violacea,725,,,,,,,,,2,,0.0333,,,,
Nyctea scandiaca,1525,,,,,,,,16.75,,,,,,,
Nyctereutes procyonoides,7000,,,,,,,,11,0.8333,,0.0139,,,,
Nycteris grandis,30,,,,,,,,,,,,,,,
Nycteris thebaica,11.25,,,,,,,,,,,,,,,
Nyctibius grandis,505,,,,,,,,,,,,,,,
Nycticebus coucang,642,,,,,,,,20,1.5,,0.0278,,,,
Nycticebus pygmaeus,400,,,,,,,,,1.5833,,0.0125,0.0126,,,
Nycticeius humeralis,10,,,,,,,,2,0.8333,,0.0139,,,,
Nycticorax nycticorax,800,,,,,,,,21.08,,2.0278,,0.0338,,,
Nyctiellus lepidus,7.5,,,,,,,,,,,,,,,
Nyctimene albiventer,45,,,,,,,,,,,,,,,
Nyctinomops femorosaccus,12,,,,,,,,,,,,,,,
Nyctinomops macrotis,24,,,,,,,,,0.3333,,0.0056,,,,
Nyctophilus geoffroyi,7,,,,,,,,,,,,,,,
Nymphicus hollandicus,85,,,,,,,,12,1.0833,,0.025,,,,
Ochotona collaris,160,,,,,,,,6,1,,0.0167,0.0169,,,
Ochotona curzoniae,150,,,,,,,,0.33,,,,,,,
Ochotona macrotis,120,,,,,,,,2,1,,0.0167,,,,
Ochotona pallasi,190,,,,,,,,,0.0778,,0.0013,,,,
Ochotona princeps,148.5,,,,,,,,3,1,,0.0161,0.0161,,,
Ochotona pusilla,262.5,,,,,,,,4,1,,0.0015,,,,
Ochotona rutila,250,,,,,,,,3,1,,0.0167,,,,
Ochrotomys nuttalli,22.5,,,,,,,,,,,,,,,
Octodon degus,235,,,,,,,,,0.3111,,0.0045,,,,
Octopus briareus,,,,,,,,,,,,,,,,
Odobenus rosmarus,1000000,,,,,,,,35,10,,0.1167,,,,
Odocoileus hemionus,96500,,,,,,,,,,1.3972,,0.0221,,,
Odocoileus virginianus,97000,,,,,,,,2,2,1.1583,0.0333,0.0143,,,
Oeneis uhleri,0.2,,,,,,,,0.21,,,,,,,
Okapia johnstoni,250000,,,,,,,,,,2.1944,,0.0268,,,
Oligocottus snyderi,8,,,,,,,,2,1,,0.0167,,,,
Ommatophoca rossii,182500,,,,,,,,21,3,,0.05,,,,
Oncorhynchus aguabonita,2510,,,,,,,,,,,,,,,
Oncorhynchus clarkii,3000,,,,,,,,7,6,,0.1,,,,
Oncorhynchus gilae,99,,,,,,,,4,2,,0.0333,,,,
Oncorhynchus kisutch,4500,,,,,,,,4.1,,3.0417,,0.0507,,,
Oncorhynchus mykiss,4000,,,,,,,,11,7,,0.1167,,,,
Oncorhynchus nerka,2500,,,,,,,,8,4.5,,,,,,
Oncorhynchus tshawytscha,13600,,,,,,,,3.5,0.75,,0.0125,,,,
Ondatra zibethicus,1135.8,,,,,,,,3,0.7917,,0.0132,,,,
Onychogalea fraenata,6000,,,,,,,,,0.75,,0.0063,0.0086,,,
Onychomys arenicola,25.75,,,,,,,,,0.3333,,0.0056,,,,
Onychomys leucogaster,32.5,,,,,,,,,,0.3167,,0.0046,,,
Onychomys torridus,22,,,,,,,,,,0.1139,,0.0019,,,
Ophiodon elongatus,13000,,,,,,,,20,2,,0.0667,,,,
Oporornis agilis,15,,,,,,,,,,,,,,,
Oporornis tolmiei,10.4,,,,,,,,7.17,,,,,,,
Orcaella brevirostris,124000,,,,,,,,32,4.5,,0.075,,,,
Orcaella heinsohni,123500,,,,,,,,,,,,,,,
Orcinus orca,7200000,,,,,,,,,11.5,,0.1333,,,,
Oreamnos americanus,69300,,,,,,,,18,2.5,2.5333,0.0417,0.0422,,,
Oreotragus oreotragus,13000,,,,,,,,,0.5833,1.0139,0.0097,0.0169,,,
Ornithorhynchus anatinus,1520,,,,,,,,17,1.5,,0.0333,,,,
Orthogeomys cavator,700,,,,,,,,1.5,1,,0.0032,,,,
Orthogeomys grandis,830,,,,,,,,2,0.25,,0.0042,,,,
Orthogeomys heterodus,521,,,,,,,,1,,,0.0032,,,,
Ortyxelos meiffrenii,17.6,,,,,,,,,,,,,,,
Orycteropus afer,61000,,,,,,,,18,2,2.0278,0.0333,0.0338,,,
Oryctolagus cuniculus,2000,,,,,,,,9,0.6667,,0.0111,0.0338,,,
Oryx dammah,200000,,,,,,,,,,,,0.0296,,,
Oryx gazella,210000,,,,,,,,18,2,,0.0333,,,,
Oryx leucoryx,155000,,,,,,,,,,,,0.0368,,,
Oryzomys albigularis,61.9,,,,,,,,,0.13,,0.0024,,,,
Oryzomys galapagoensis,64.5,,,,,,,,2,,,,,,,
Oryzorictes hova,34,,,,,,,,,,,,,,,
Osteoglossum bicirrhosum,4600,,,,,,,,,,,,,,,
Osteopilus septentrionalis,57,,,,,,,,7.5,0.3333,,0.0118,,,,
Otaria flavescens,245000,,,,,,,,18,6,,0.0583,,,,
Otocyon megalotis,4150,,,,,,,,,0.7083,,0.0118,,,,
Otolemur crassicaudatus,1500,,,,,,,,,,1.775,0.0333,0.0229,,,
Otolemur garnettii,771.5,,,,,,,,,1.6667,,0.0278,,,,
Otomys angoniensis,120,,,,,,,,,,,,,,,
Otus asio,164.1,,,,,,,,20.67,1,1.0139,0.0167,0.0169,,,
Otus flammeolus,57.5,,,,,,,,7.92,,,,,,,
Otus kennicottii,170.1,,,,,,,,13,1,,0.0167,,,,
Otus marshalli,115,,,,,,,,,1,,0.0167,,,,
Otus trichopsis,91.5,,,,,,,,,,,,,,,
Ourebia ourebi,17000,,,,,,,,10,1.1667,1.1833,0.0139,0.0141,,,
Ovibos moschatus,285000,,,,,,,,14,3.5,,0.0417,,,,
Ovis ammon,160000,,,,,,,,11.5,5,2.2861,0.0333,,,,
Ovis aries,110000,,,,,,,,,,2.5389,,0.0254,,,
Ovis aries vignei,90000,,,,,,,,10,1.5,,0.025,,,,
Ovis canadensis,90000,,,,,,,,19,7,,0.0417,,,,
Ovis dalli,79500,,,,,,,,,,1.775,,0.0317,,,
Oxyura jamaicensis,552.5,,,,,,,,13.58,1,,0.0167,,,,
Ozotoceros bezoarticus,35000,,,,,,,,,,,,0.0169,,,
Pachyornis mappini,30000,,,,,,,,30,5,,0.0833,,,,
Pachyuromys duprasi,36.5,,,,,,,,,0.375,,0.0063,,,,
Pagophilus groenlandicus,130000,,,,,,,,30,5.5,5.0722,0.0917,,,,
Paguma larvata,4300,,,,,,,,10,,,,,,,
Pagurus bernhardus,7.3,,,,,,,,0,1,,0.0167,,,,
Paleosuchus palpebrosus,6500,,,,,,,,30,11.5,,0.1917,,,,
Pan paniscus,39000,,,,,,,,20,14,,0.2333,,,,
Pan troglodytes,48000,,,,,,,,51,13.5,,0.1917,,,,
Pandinus imperator,28,,,,,,,,,4,,0.0667,,,,
Pandion haliaetus,1600,,,,,,,,26.17,3,3.0417,0.05,0.0507,,,
Panthera leo,199000,,,,,,,,14,5,3.0417,0.0667,0.0507,,,
Panthera onca,100000,,,,,,,,11.5,2.5,,0.025,,,,
Panthera pardus,41000,,,,,,,,17,2,2.1417,0.0417,0.0434,,,
Panthera tigris,257000,,,,,,,,9,4.5,3.9306,0.0583,0.0587,,,
Pantherophis guttatus,900,,,,,,,,,1.4167,,0.0236,,,,
Pantholops hodgsonii,33000,,,,,,,,8,2,,0.0333,,,,
Panulirus argus,2500,,,,,,,,12,2,,0.0333,,,,
Panulirus cygnus,5000,,,,,,,,30,6.5,,0.1083,,,,
Panulirus interruptus,908,,,,,,,,20.5,4.5,,0.1167,,,,
Papio anubis,19500,,,,,,,,,8.5,,0.125,,,,
Papio hamadryas,15350,,,,,,,,37,5.8,,0.0717,0.0701,,,
Papio papio,19500,,,,,,,,,,,0.0717,,,,
Papio ursinus,23000,,,,,,,,,5,,0.05,,,,
Pappogeomys bulleri,225,,,,,,,,5,0.875,,0.0125,,,,
Parabuteo unicinctus,891,,,,,,,,14.92,,,,,,,
Paracanthurus hepatus,600,,,,,,,,30,,,,,,,
Paracheirodon axelrodi,0.13,,,,,,,,1,0.75,,0.0125,,,,
Paradipus ctenodactylus,140,,,,,,,,,,,,,,,
Paradoxurus hermaphroditus,3000,,,,,,,,20,0.8333,,0.016,,,,
Paraechinus aethiopicus,550,,,,,,,,,,,,,,,
Paraechinus micropus,373.5,,,,,,,,,,,,,,,
Paralabrax clathratus,7000,,,,,,,,10,3,,0.0583,,,,
Paralichthys californicus,33000,,,,,,,,30,2.5,,0.075,,,,
Paralithodes camtschaticus,10000,,,,,,,,25,5.5,,0.0917,,,,
Parantechinus apicalis,70,,,,,,,,2,0.875,,0.0146,,,,
Parascalops breweri,62.5,,,,,,,,3,0.8333,,0.0139,,,,
Paraxerus flavovittis,160,,,,,,,,,,,,,,,
Pardofelis marmorata,3500,,,,,,,,,1.7917,,0.0299,,,,
Parula americana,8.6,,,,,,,,5.75,1,,0.0167,,,,
Parus atricapillus,11,,,,,,,,12.5,,0.5,,0.0083,,,
Parus bicolor,21,,,,,,,,2.1,1,,0.0167,,,,
Parus carolinensis,10.5,,,,,,,,10.92,0.8333,,0.0139,,,,
Parus gambeli,10.5,,,,,,,,10.08,,,,,,,
Passer domesticus,28.5,,,,,,,,15.75,,,,,,,
Passerella iliaca,36.9,,,,,,,,10.33,1,,0.0167,,,,
Passerina caerulea,28.5,,,,,,,,5.9,,,,,,,
Passerina ciris,16,,,,,,,,10.5,,,,,,,
Passerina cyanea,15,,,,,,,,9.25,1,,0.0167,,,,
Pavo cristatus,4000,,,,,,,,18,3,,0.05,,,,
Pecari tajacu,20000,,,,,,,,,,0.9944,,0.0152,,,
Pedetes capensis,3500,,,,,,,,,,,,0.0479,,,
Pelea capreolus,25000,,,,,,,,10,1.625,,0.0271,,,,
Pelecanoides magellani,159.5,,,,,,,,,,,,,,,
Pelecanoides urinatrix,135.5,,,,,,,,6.5,2.5,,0.0417,,,,
Pelecanus conspicillatus,5400,,,,,,,,20,3.5,,0.0583,,,,
Pelecanus erythrorhynchos,6770,,,,,,,,26.4,,,0.05,,,,
Pelecanus occidentalis,3500,,,,,,,,27.83,3.5,,0.0583,,,,
Pelecanus onocrotalus,7000,,,,,,,,,,,,,,,
Pelecanus philippensis,4900,,,,,,,,,2.5,,0.0417,,,,
Penaeus monodon,210,,,,,,,,2.5,,,,,,,
Pentalagus furnessi,2253.25,,,,,,,,,,,,,,,
Penthetor lucasi,42.5,,,,,,,,,,,,,,,
Peponocephala electra,228000,,,,,,,,30,4,6.8472,0.0667,0.1986,,,
Perameles gunnii,640,,,,,,,,,,0.4222,,0.0042,,,
Perameles nasuta,801.5,,,,,,,,,0.4167,,0.0042,0.0063,,,
Perca flavescens,150,,,,,,,,,,,,,,,
Percina caprodes,15,,,,,,,,4,2,,0.0333,,,,
Perisoreus canadensis,70.3,,,,,,,,15.42,,,,,,,
Perodicticus potto,1100,,,,,,,,,1.5,1.5194,0.025,0.0253,,,
Perognathus amplus,11.7,,,,,,,,,,,,,,,
Perognathus fasciatus,11,,,,,,,,1.08,,,,,,,
Perognathus flavescens,11.5,,,,,,,,1.5,,,0.0044,,,,
Perognathus flavus,7.5,,,,,,,,,,,,,,,
Perognathus inornatus,9.5,,,,,,,,,,,,,,,
Perognathus parvus,20.1,,,,,,,,,,,,0.0046,,,
Peromyscus attwateri,30,,,,,,,,0.57,,,,,,,
Peromyscus aztecus,29,,,,,,,,1.25,,,,,,,
Peromyscus boylii,29,,,,,,,,,,,0.0024,,,,
Peromyscus californicus,43.8,,,,,,,,1.12,0.2139,,0.0036,0.0021,,,
Peromyscus crinitus,17,,,,,,,,,0.4167,,0.0069,,,,
Peromyscus eremicus,25,,,,,,,,1,,,0.0028,0.006,,,
Peromyscus gossypinus,31.5,,,,,,,,0.38,0.125,,0.0027,,,,
Peromyscus keeni,20,,,,,,,,1,0.1069,,0.0018,,,,
Peromyscus leucopus,23,,,,,,,,1,0.1222,,0.002,0.0034,,,
Peromyscus maniculatus,17,,,,,,,,1,,,0.0023,,,,
Peromyscus polionotus,12.5,,,,,,,,1.5,0.0833,,0.0014,0.0013,,,
Peromyscus truei,20,,,,,,,,1,0.175,,0.0023,0.0023,,,
Peropteryx macrotis,6,,,,,,,,,,,,,,,
Peroryctes raffrayana,820,,,,,,,,,,0.4167,,0.0042,,,
Petaurillus hosei,78.5,,,,,,,,,,,,,,,
Petaurista elegans,1250,,,,,,,,,,,,,,,
Petaurista leucogenys,1150,,,,,,,,,1.7917,,0.0299,,,,
Petaurista petaurista,1750,,,,,,,,,,,,,,,
Petauroides volans,1250,,,,,,,,6,2,1.775,0.0333,0.0296,,,
Petaurus australis,572.5,,,,,,,,10,,,,0.0336,,,
Petaurus breviceps,110,,,,,,,,14,,1.2667,,0.0109,,,
Petaurus gracilis,380,,,,,,,,,1.25,,0.0208,,,,
Petaurus norfolcensis,245,,,,,,,,,,,,,,,
Petrodromus tetradactylus,205,,,,,,,,,,,,,,,
Petrogale assimilis,4500,,,,,,,,,1.6875,,0.0281,,,,
Petrogale brachyotis,4500,,,,,,,,,,,,,,,
Petrogale concinna,1400,,,,,,,,,2,,0.0333,0.0199,,,
Petrogale lateralis,5050,,,,,,,,,,,,,,,
Petrogale penicillata,7450,,,,,,,,,1.6667,1.6389,0.025,0.025,,,
Petrogale persephone,6600,,,,,,,,10,2.0833,,0.0317,,,,
Petrogale xanthopus,5500,,,,,,,,,,,,0.025,,,
Petromus typicus,200,,,,,,,,,,,,,,,
Petromyscus collinus,18.2,,,,,,,,,,,,,,,
Petromyzon marinus,1750,,,,,,,,3.25,4,,0.0667,,,,
Petropseudes dahli,1640,,,,,,,,,0.5833,,0.0097,,,,
Phacochoerus aethiopicus,75000,,,,,,,,10,1.25,,0.0208,,,,
Phacochoerus africanus,100000,,,,,,,,16.5,1.5833,,0.0264,,,,
Phaeognathus hubrichti,11,,,,,,,,11,1,,0.1,,,,
Phaethornis superciliosus,5.05,,,,,,,,,,,,,,,
Phalacrocorax aristotelis,2000,,,,,,,,,,,0.0333,,,,
Phalacrocorax auritus,1850,,,,,,,,6.1,2,,0.0333,,,,
Phalacrocorax brasilianus,1300,,,,,,,,12.58,,,,,,,
Phalacrocorax carbo,3150,,,,,,,,22,3,,0.05,,,,
Phalaenoptilus nuttallii,51.6,,,,,,,,3,,,,,,,
Phalanger gymnotis,3175,,,,,,,,,,,,,,,
Phalanger lullulae,1730,,,,,,,,,,,,,,,
Phalanger orientalis,2100,,,,,,,,,,,,,,,
Phalaropus lobatus,34,,,,,,,,5,,,,,,,
Phaner furcifer,400,,,,,,,,,,,,,,,
Pharomachrus auriceps,168,,,,,,,,,2,,0.0333,,,,
Phascogale tapoatafa,210.5,,,,,,,,,,1.0139,,0.0169,,,
Phascolarctos cinereus,8450,,,,,,,,13,,3.0417,,0.0299,,,
Phasianus colchicus,1263,,,,,,,,3,1,,0.0167,,,,
Phenacomys intermedius,40,,,,,,,,,,,,0.0017,,,
Phestilla sibogae,1.25,,,,,,,,,,,,,,,
Pheucticus ludovicianus,44,,,,,,,,13,1,,0.0167,,,,
Pheucticus melanocephalus,46,,,,,,,,11.92,3,,0.0167,,,,
Philander frenatus,175,,,,,,,,,0.7833,,0.0163,,,,
Philander olrogi,417,,,,,,,,,,,,,,,
Philander opossum,437,,,,,,,,2.5,0.5833,,0.009,0.0208,,,
Philantomba maxwellii,6000,,,,,,,,,3,,0.05,,,,
Philantomba monticola,5000,,,,,,,,12,1.25,,0.0146,,,,
Phloeomys cumingi,1770,,,,,,,,,,,,,,,
Phoca largha,90000,,,,,,,,32,0,,0,,,32,32
Phoca vitulina,125000,,,,,,,,40,4.5,4.0556,0.0583,0.0507,,32,32
Phocarctos hookeri,250000,,,,,,,,23,8.5,,0.05,,,,
Phocoena dioptrica,67500,,,,,,,,,,,,,,,
Phocoena phocoena,52500,,,,,,,,13,5,,0.0833,,,,
Phocoena sinus,42500,,,,,,,,,4.5,,0.075,,,,
Phocoena spinipinnis,55000,,,,,,,,,,,,,,,
Phocoenoides dalli,175000,,,,,,,,16.5,6.5,,0.075,,,,
Phodopus campbelli,23.4,,,,,,,,,0.0639,,0.0022,,,,
Phodopus sungorus,23.4,,,,,,,,,,,,0.0056,,,
Phoebastria immutabilis,2400,,,,,,,,31.5,8.4,,0.1483,,,,
Phoebetria palpebrata,3000,,,,,,,,,12,,0.2,,,,
Phoenicoparrus andinus,2800,,,,,,,,,4.5,,0.075,,,,
Phoenicoparrus jamesi,2250,,,,,,,,25,3.5,,0.0583,,,,
Phoenicopterus chilensis,3000,,,,,,,,50,6,,0.1,,,,
Phoenicopterus roseus,2450,,,,,,,,50,5.5,,0.0917,,,,
Phoenicopterus ruber,3100,,,,,,,,25,3,,0.05,,,,
Phyllostomus hastatus,81,,,,,,,,,,,,,,,
Physeter catodon,42500000,,,,,,,,77,10,10.1389,0.1583,,,,
Piaractus brachypomus,13000,,,,,,,,,3,,0.05,,,,
Pica hudsonia,177.5,,,,,,,,15,2,,0.0167,,,,
Picoides arcticus,74.5,,,,,,,,,,,,,,,
Picoides borealis,47.5,,,,,,,,16.08,0.6667,0.6667,0.0111,0.0111,,,
Picoides pubescens,24.5,,,,,,,,11.92,1,,0.0167,,,,
Picoides scalaris,30,,,,,,,,4.5,1,,0.0167,,,,
Picoides tridactylus,64.5,,,,,,,,,,,,,,,
Picoides villosus,85,,,,,,,,15.92,,,,,,,
Piliocolobus badius,9500,,,,,,,,,,,,,,,
Piliocolobus pennantii,9000,,,,,,,,,5.5,,0.0583,,,,
Piliocolobus rufomitratus,5800,,,,,,,,,,,,,,,
Pimephales promelas,3.5,,,,,,,,2.5,0.375,,0.0063,,,,
Pinctada margaritifera,7.15,,,,,,,,15,,,,,,,
Pinguinus impennis,5000,,,,,,,,22.5,5.5,,0.0917,,,,
Pipistrellus hesperus,4.5,,,,,,,,,,,,,,,
Pipistrellus pipistrellus,5.75,,,,,,,,9,,1.2667,,0.0211,,,
Pipistrellus subflavus,6.25,,,,,,,,14.8,,,0.0097,,,,
Pipistrellus tenuis,3.7,,,,,,,,,,,,,,,
Piranga ludoviciana,28,,,,,,,,8,2,,0.0333,,,,
Piranga olivacea,30.75,,,,,,,,10.08,,,,,,,
Piranga rubra,30,,,,,,,,7.92,1,,0.0167,,,,
Pitangus sulphuratus,60,,,,,,,,6.92,,,,,,,
Pithecia monachus,1500,,,,,,,,,,,,,,,
Pithecia pithecia,1700,1667.2,1300,1600,,,,,14,,,0.0347,0.0347,0.0667,,
Pithecophaga jefferyi,6500,,,,,,,,40,7,,0.0833,,,,
Planigale ingrami,4.3,,,,,,,,1.3,,,,,,,
Planigale tenuirostris,6.5,,,,,,,,,,,,0.0111,,,
Platacanthomys lasiurus,75,,,,,,,,,,,,,,,
Platanista gangetica,70000,,,,,,,,20,10,10.1444,0.1667,0.1691,,,
Platanista minor,84000,,,,,,,,28,10,,0.1667,,,,
Platyrrhinus lineatus,22,,,,,,,,,,,,,,,
Plecotus auritus,8,,,,,,,,15,1.125,,0.0188,,,,
Plecotus austriacus,10,,,,,,,,15,1.5,,0.0417,,,,
Plectrophenax nivalis,40,,,,,,,,9.58,,,,,,,
Plegadis chihi,487.5,,,,,,,,14.5,2,,0.0333,,,,
Plestiodon obsoletus,27,,,,,,,,3,,,0.0167,,,,
Plethodon cinereus,0.5,,,,,,,,,2,2.0278,0.0333,0.0338,,,
Plethodon glutinosus,4.2,,,,,,,,,,2.5278,,0.0421,,,
Pluvialis dominica,144.6,,,,,,,,15,1,,0.0167,,,,
Podiceps auritus,435,,,,,,,,5.17,1,,0.0167,,,,
Podiceps cristatus,1145,,,,,,,,11.8,1,,0.0167,,,,
Podiceps grisegena,1200,,,,,,,,5,1.5,,0.025,,,,
Podilymbus podiceps,450,,,,,,,,5,1.5,,0.025,,,,
Podomys floridanus,32.5,,,,,,,,,,,,,,,
Poecilogale albinucha,305,,,,,,,,,,,,0.0203,,,
Poelagus marjorita,2500,,,,,,,,4,0.25,,0.0049,,,,
Pogonias cromis,19000,,,,,,,,,,,,,,,
Poiana richardsonii,600,,,,,,,,,,,,,,,
Poicephalus senegalus,120,,,,,,,,,,,,,,,
Polemaetus bellicosus,4650,,,,,,,,14,4.5,,0.075,,,,
Polihierax semitorquatus,65,,,,,,,,,1,,0.0167,,,,
Polioptila caerulea,6.5,,,,,,,,4.17,,,,,,,
Polioptila melanura,5,,,,,,,,,1,,0.0167,,,,
Pollachius virens,2750,,,,,,,,25,2.3,2.3306,0.0333,0.0338,,,
Polyodon spathula,31500,,,,,,,,55,6.5,,0.1833,,,,
Polytelis alexandrae,113.4,,,,,,,,,4,,0.0667,,,,
Pomatomus saltatrix,4000,,,,,,,,,,,,,,,
Pomoxis annularis,910,,,,,,,,3,3,,0.05,,,,
Pomoxis nigromaculatus,0.57,,,,,,,,10,,,,,,,
Pongo abelii,60000,,,,,,,,51,19,,0.205,,,,
Pongo pygmaeus,87000,,,,,,,,59,11.5,,0.1408,,,,
Pontoporia blainvillei,40500,,,,,,,,12,2.75,,0.0583,,,,
Porphyrio porphyrio,950,,,,,,,,,3,,,,,,
Potamochoerus larvatus,84500,,,,,,,,20,1.625,,0.0271,,,,
Potamochoerus porcus,88000,,,,,,,,15,,3.0444,,0.0507,,,
Potamogale velox,625,,,,,,,,,,,,,,,
Potamotrygon motoro,15000,,,,,,,,,0.385,,0.077,,,,
Potorous longipes,1500,,,,,,,,,,,,0.035,,,
Potorous tridactylus,1250,,,,,,,,,,,,0.0185,,,
Potos flavus,3300,,,,,,,,29,1.5278,1.5278,0.038,0.038,,,
Presbytis melalophos,6000,,,,,,,,,3.5417,,0.066,,,,
Presbytis thomasi,6550,,,,,,,,20,4.5,,0.0667,,,,
Priodontes maximus,26800,,,,,,,,13.5,0.875,,0.0146,,,,
Prionace glauca,240000,,,,,,,,15,5.5,,0.0917,,,,
Prionailurus bengalensis,5000,,,,,,,,4,1.5,,0.025,,,,
Prionailurus iriomotensis,3700,,,,,,,,,0.6667,,0.0111,,,,
Prionailurus planiceps,2120,,,,,,,,,,,,,,,
Prionailurus rubiginosus,1700,,,,,,,,,,,,,,,
Prionailurus viverrinus,9000,,,,,,,,,0.75,,0.0125,,,,
Prionodon linsang,700,,,,,,,,,,,,,,,
Prionodon pardicolor,595,,,,,,,,,,,,,,,
Probosciger aterrimus,800,,,,,,,,,7.5,,0.125,,,,
Procapra gutturosa,27500,,,,,,,,,2.5,,0.025,0.0246,,,
Procapra przewalskii,25000,,,,,,,,8,,,0.025,,,,
Procavia capensis,3800,,,,,,,,8.5,1.3333,1.3889,0.0222,0.0231,,,
Procolobus verus,3350,,,,,,,,20,5.5,,0.0583,,,,
Procyon cancrivorus,5000,,,,,,,,14,1,1.0139,0.0167,0.0169,,,
Procyon lotor,6000,,,,,,,,5,2,1.0139,0.0139,,,,
Profelis aurata,10750,,,,,,,,,1.5,,0.0153,,,,
Progne subis,48,,,,,,,,13.75,1,,0.0167,,,,
Prolemur simus,2250,,,,,,,,,,,,,,,
Pronolagus rupestris,2000,,,,,,,,,,,,,,,
Propithecus candidus,5750,,,,,,,,,,,,,,,
Propithecus coquereli,4000,,,,,,,,27,3.5,,0.0583,,,,
Propithecus diadema,6000,,,,,,,,,5,2.5361,0.0667,0.0549,,,
Propithecus edwardsi,5750,,,,,,,,,,,,,,,
Propithecus perrieri,4300,,,,,,,,15,5,,0.0667,,,,
Propithecus tattersalli,3000,,,,,,,,,2.5,,0.0417,,,,
Propithecus verreauxi,5000,,,,,,,,,2.5,2.5333,0.0417,0.0422,,,
Proteles cristata,11000,,,,,,,,,,,,,,,
Protonotaria citrea,16.1,,,,,,,,8.08,,,,,,,
Przewalskium albirostris,135000,,,,,,,,18,1.25,,0.0208,,,,
Psaltriparus minimus,5.5,,,,,,,,8.42,,,,,,,
Psammobates pardalis,18000,,,,,,,,100,5,,,,,,
Psammomys obesus,166.5,,,,,,,,1.17,0.3333,,0.0042,0.0046,,,
Psarocolius montezuma,375,,,,,,,,,,,,,,,
Pseudacris crucifer,4,,,,,,,,,2.5,,0.0417,,,,
Pseudacris regilla,0.35,,,,,,,,,1.5,,0.025,,,,
Pseudacris streckeri,3.5,,,,,,,,2,0.1875,,0.0031,,,,
Pseudemys rubriventris,3900,,,,,,,,47.5,9,,,,,,
Pseudocarcharias kamoharai,5000,,,,,,,,,,,,,,,
Pseudocheirus peregrinus,700,,,,,,,,5,,1.0139,,0.0169,,,
Pseudochirops archeri,1092,,,,,,,,,,,,,,,
Pseudochirulus cinereus,,,910,,,,,,,,,,,,,
Pseudochirulus herbertensis,1165,,,,,,,,5,1,,0.0167,,,,
Pseudochirulus mayeri,154.5,,,,,,,,4.5,,,,,,,
Pseudois nayaur,55000,,,,,,,,16,2,,0.0333,,,,
Pseudomys higginsi,65,,,,,,,,1.5,,0.75,,0.0126,,,
Pseudorca crassidens,1378920,,,,,,,,60,9,,0.1583,,,,
Pseudoryx nghetinhensis,90000,,,,,,,,,,,,,,,
Psittacus erithacus,407,,,,,,,,22.7,4,,0.0667,,,,
Pteridophora alberti,81.5,,,,,,,,,1.5,,0.025,,,,
Pterocnemia pennata,20000,,,,,,,,,,,,,,,
Pterodroma arminjoniana,318,,,,,,,,,,,,,,,
Pteroglossus torquatus,230,,,,,,,,,,,,,,,
Pteromylaeus bovinus,60650,,,,,,,,14,5,,0.0833,,,,
Pteromys volans,130,,,,,,,,3.8,,,,,,,
Pteromyscus pulverulentus,,,,,,,,,,,,,,,,
Pteronotus davyi,8.25,,,,,,,,,1,,0.0167,,,,
Pteronotus parnellii,15,,,,,,,,,,,,,,,
Pteronura brasiliensis,24000,,,,,,,,,,,,0.0338,,,
Pteropus alecto,667,,,,,,,,4.5,,,,,,,
